id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	seq1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	seq2	gid2	matches	score	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
Sham19Y0026094-ara1.ms208	-2807972241592989463	259	288	1313	1447	1502	300	فيقولا حوابي وهو ما وقع بين يدي الغرض وحبا اليه فاصابه او ------------------------------------------------------خواصر وهو ما كان في جانبي الغرض او -------------------------------------------------------------------------خواسق وهو ما فتح الغرض وثبت فيه او خوارق	208	-4597964591653547799	Shia000033Vols-ara1.ms2061	7163009325446094336	10	59	52	297	1571	300	فال----حوابي---- ما وقع بين يدي الغرض وحبا اليه اي سبق اليه ومنه قال حبا الصبي يحبو اذا حبا من مكان الي مكان والخواصر---- ما كان في جانبي الغرض ومنه قيل الخاصرة لانها من جانبي الرجل والخوارق ما خدش الغرض ولم يثبت فيه والخواسق---- ما فتح الغرض وثبت فيه والخواصل	2061	8859940330016828226	101	121.0	79	261	38.69731903076172	18	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms318	179099598310461387	227	296	1043	1349	1371	300	قال انت طالق قبل قدوم زيد او قبل موتي بشهر -ثم قدم زيد او مات هو قبل مضي الشهر او مع مضيه لم يقع بها الطلاق---------------------------------- وان -----------------------------------------------------------------------------------------وجد ذلك بعد مضي الشهر ومضي جزء يقع في مثله الطلاق تبينا ان طلاقهما------------------- وقع في ذلك الجزء فا-----ن كان الطلاق ثلاثا--------------------------------------------------------------------------------------------------------------------------------------- ثم خالعها بعد يوم او يومين ثم قدم زيد او مات بعد الشهر بساعة او يوم وق------------------ع الطلاق وبطل--- الخلع	318	-4597964591653547799	Shia000033Vols-ara1.ms1548	-902839291387874185	96	209	521	1051	1536	300	قال انت طالق قبل قدوم زيد------------ بشهر فان قدم ق--------------بل مضي الشهر----------- لم يقع---- الطلاق لانه يءدي الي وقوعه قبل عقد الصفة وان قدم مع انقضاء الشهر من حين عقد الصفة لم يقع ولا يقع حتي يمضي شهر وزمان لوقوع الطلاق فيه فاذا قدم بعد ------شهر ولحظة من حين عقد الصفة---------------------- وقع عقيب عقد الصفة وق--بل اول الشهر فاذا تقرر ان الطلاق يقع قبل قدومه بشهر فالحكم فيه اذا قدم بعد عقد الصفة بشهرين وستة وما زاد واحد ويحكم بان الطلاق يقع قبل قدومه بشهر فاذا ثبت هذا فعقد هذه الصفة ثم خالعها بعد يوم او يومين ثم قدم زيد------- بعد --شهر ولحظة من حين عقد الصفة حكمنا بوقوع الطلاق قبل عقد الخلع	1548	8859940330016828226	170	127.0	123	610	27.868852615356445	27	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms320	-3786196683215214413	29	116	155	589	1491	300	قد حضنا فان صدقهن----- طلقن ---وان كذبهن او صدق واحدة منهن او اثنتين لم--------------------------------------------- تطلق واحدة منهن فان صدق و ثلاثا طلقت المكذبة ولم يقع بالمصدقات طلاق فان قال لهن كلما- حاضت --واحدة منكن فضراءرها طوالق فقلن قد حضنا فان صدقهن طلقت كل واحدة ثلاثا وان كذبهن لم تطلق واحدة منهن وان صدق -احداهن لم يقع بها طلاق ووقع بكل واحدة من ضراءرها طلقة فان صدق اثنتين طلقت كل واحدة منهما طلقة وطلقت كل واحدة من المكذبتين طلقتين فان صدق ثلاثا منهن وقع بكل واحدة منهن طلقتان	320	-4597964591653547799	Shia000033Vols-ara1.ms1504	402662410908485657	81	161	434	847	1502	300	قد حضن- فان صدقهن كلهن طلقن ثلاثا ثلاثا لان لكل واحدة ثلاث صواحبات قد صدقهن الزوج وعندنا ان هذه مثل الاولي في انه لا تطلق واحدة منهن بحال لانه معلق بشرط له ثلاث زوجات---------------------- قال لهن ايتكن حاضت فصواحبات-----------ها طوالق فالحكم فيها كالحكم في التي قبلها سواء ان كذ------بهن لم تطلق واحدة منهن وان صدق واحد--ة لم تطلق وطلقت المكذبتان طلقة طلقة وان ص-------------دق اثنتين طلقت كل واحدة منهما طلقة والمكذبة طلق-------------------تين فان صدق----هن كلهن طلقت كل واحدة منهن طلقتين	1504	8859940330016828226	196	230.5	149	491	39.91853332519531	28	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms322	3855719805787164259	67	164	324	752	1383	300	قال لها انت طالق ان شءت فقالت و قد شءت ان شءت فقال قد شءت----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- لم ي-------------------------------------------------------------------قع الطلاق نص عليه وكذلك ان قالت قد شءت ان شاء ابي فقال ابوها قد شءت لم تطلق وكذلك ان قال انت طالق ان شاء ابوك فقال ابوها قد شءت ان شاءت فقالت قد شءت لم تطل-------------------------------------------------------------------------------------------------------------------------------------------------------------------ق فان قال انت طالق ان شءت وشاء ابوك فان شاءا جميعا-------------------- طلقت سواء كانت المشيءة علي الفور او علي التراخي او شاء احدهم-------------------------------------------------ا علي الفور والاخر علي التراخي ويحتمل ان يقف ذلك ال-----مجلس فان قال انت طالق ان شاء زيد فقال --زيد قد شءت	322	-4597964591653547799	Shia000033Vols-ara1.ms1496	7843568916680204162	129	278	639	1396	1505	300	قال---- انت طالق ان شءت فقالت----- شءت ان شءت فقال قد شءت لا يقع الطلاق عندنا وعندهم لامرين احدهما علق طلاقها بصفة وهي مشيتها فعلقت هي مشيتها بالصفة وتلك الصفة مشيته والمشية اضمار في القلب واعتقاد فلا يتعلق بالصفات كقوله اذا طلعت الشمس قد شءت لم يصح لان طلوعها لا يكون صفة للمشية فاذا ثبت هذا فلم توجد مشيتها فلم يقع الطلاق -------------------------------------------------------------------------------------------------------------------------------------------------والثاني اذا علق الكلام بالمشية اقتضي ان يكون المشية جوابا لكلامه فاذا تراخي عن هذه الحال بطل فاذا لم تشا وعلقت مشيتها بصفة تاخرت مشيتها فانحلت اليمين ولم يقع الطلاق فان قال انت طالق ان شءت وشاء ابوك فان شاءا معا بحيث كان جوابا لكلامه طلقت -وان ------لم يشا واحد منهما انحلت اليمين وان شاء احدهما دون الاخر فكذلك ايضا انحلت اليمين وان شاء احدهما علي الفور والاخر علي التراخي او بعد ساعة انحلت اليمين ايضا وان قالت قد -شءت ان شاء ابي فقال ابوها قد شءت	1496	8859940330016828226	202	116.5	150	919	21.98041343688965	36	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms324	3674378038797331036	202	280	1013	1386	1482	300	ب--ها فان قال لها -----اذا طلقتك فانت طالق وهي م-----------------------------------------------------------دخول -------------------------------بها ثم قال ان دخلت الدار فانت طالق فدخلت الدار طلقت طلقتين فان قال ان دخلت الدار فانت طالق ثم قال اذا طلقتك فانت طالق فدخلت الدار طلقت طلقة فان قال ا-ن دخلت الدار فانت طالق ثم قال اذا وقع عليك طلاقي فانت طالق فدخلت الدار طلقت طلقتين فان قال كلما طلقتك فانت طالق ثم قال انت طالق طلقت طلقتين----------------------------------------------------------------- وان قال-------------------- كلما وقع عليك طلاقي فانت طالق	324	-4597964591653547799	Shia000033Vols-ara1.ms1519	-1558176640955002256	114	193	604	1012	1567	300	عليها فان قال اذا وقع عليك طلاقي فانت طالق ثم قال اذا دخلت الدار فانت طالق فدخلت الدار طلقت طلقتين طلقة بالدخول واخري بوقوع الطلاق فان كانت بحالها فق-----------------------------------------------------------------------------------------ال-------------------------------------------------- اذا دخلت الدار فانت طالق ثم قال اذا وقع عليك طلاقي فانت طالق فدخلت الدار -وقع طلاقه عليه--------ا طلقة بدخولها ووقع اخري بوقوع هذه ولا تقع الثالثة لان الصفة لطلقة واحدة والاولي للتكرار وعندنا لا يقع شء اصلا وان قال اذا طلقتك فانت طالق واذا وقع عليك طلاقي فانت طالق	1519	8859940330016828226	156	169.5	117	556	28.057554244995117	24	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms327	2419835872904885094	4	78	20	356	1450	300	قال انت طالق في اخر الشهر طلقت بطلوع الفجر من اخر يوم فيه سواء كان تاما او ناقصا فان قال انت طالق في اول اخر الشهر طلقت في اول جزء من اليوم الاخير منه وقال ابو بكر تطلق في -----------------------------------------------------------------------------------------------------------------اول ليلة السادس عشر منه فان عكس--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- فقال انت طالق في اخر اول الشهر طلقت عند غروب الشمس من اليوم------------------------ الاول منه وعند ابي بكر تطلق بغروبها من اليوم الخامس عشر منه فان قال اذا -	327	-4597964591653547799	Shia000033Vols-ara1.ms1515	850491075746246553	41	176	180	826	1429	300	قال انت طالق في اخر الشهر او انسلاخ الشهر او في خروج الشهر او انقضاء الشهر او انتهاءه ط-----------------------------لقت في اخر جزء من اخر الشهر لان ذلك هو اخر الشهر وعندنا ان ذلك باطل في الطلاق لما مضي وواجب في النذر عند ذلك اذا قال انت طالق في اول اخر رمضان ففيه وجهان احدهما تطلق في اول ليلة السادس عشر---ة فان النصف الاخير هو اخر الشهر وهذا اوله والثاني انها تطلق في اول اليوم الاخير من الشهر فان كان تاما طلقت في اول يوم الثلاثين وان كان ناقصا في اول يوم التاسع والعشرين وهو الاقوي عندنا اذا اعتبرناه في النذر فان كان بالعكس من هذا فقال انت طالق في اخر اول رمضان فمن قال ان اخر رمضان هو النصف الاخير يقول اوله النصف الاول فتطلق في اخره وهو اخر اليو-----------م الخامس عشر---- ومن قال اخره	1515	8859940330016828226	129	138.0	94	693	18.61471939086914	23	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms351	6784807308483842755	81	129	408	639	1480	300	قال والله لا ------------------ادخلت جميع ذكري في ----------فرجك لم يكن موليا وان قال والله لا جامعتك الا جماع سوء رجع-- الي تفسيره فان قال اردت بجماع السوء ال-وطء في الدبر او دون الفرج كان مو----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ليا وان قال اردت جم-------اعا ضعي---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------فا لا يزيد علي التقاء الختانين لم يكن موليا	351	-4597964591653547799	Shia000033Vols-ara1.ms1591	3214917956302621688	6	164	27	806	1507	300	قال والله لا جامعتك في دبرك والله لا جامع---تك في الموضع المكروه لم يكن موليا ولو قال والله لا جامعتك الا جماع سوء رجعنا الي------ه فان قال اردت بال-----سوء الجماع في الدبر------------- كان موليا لانه اذا حلف لا جامعها الا في الدبر فقد حلف الا يجامعها في القبل فكان موليا فان قال اردت بالسوء جماعا لا يبلغ التقاء الختانين كان موليا لان معناه لا جامعتك اصلا لان الجماع الذي يخرج به من حكم الايلاء ان يلتقي الختانان فاذا حلف الا يفعل هذا كان موليا وان قال اردت بالسوء جماعا ضعيفا لا يكون قويا ولا مبالغة فيه لم يكن موليا لانه حلف ان يجامعها الجماع الذي يخرج به من حكم الايلاء وهو التقاء الختانين ضعيفا كان او قويا فان قال والله لجامعتك جماع سوء لم يكن موليا لانه ان قال نويت الجماع في الدبر فمن حلف ان يطاها في الدبر فما حلف الا يطاها في القبل وان قال اردت ان اطاها وطيا لا ي----بلغ التقاء الختانين لم يكن موليا	1591	8859940330016828226	177	254.5	136	810	21.851852416992188	30	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms391	-8525928281731653155	255	297	1302	1506	1522	300	فان كان المجني عليه عفا علي مال كان لوليه المطالبة بكمال الدية و-ان كان عفوه علي غير مال فظاهر كلامه ان لا شء لوليه قال شيخنا القياس عندي ان يرجع الولي بنصف الدية لان المجني عليه انما عفا عن نصفها وان عفا	391	-4597964591653547799	Shia000033Vols-ara1.ms2145	1519531911823846608	150	185	730	887	1442	300	فان كان المجني عليه عفا علي مال كان لوليه ان يرجع- بكمال الدية و ان كان عفوه علي غير مال كان لوليه ان يرجع--------------------------------------------- بنصف الدية لان المجني عليه قد ع--فا عن نصفها هذا اذا	2145	8859940330016828226	124	216.0	95	205	60.4878044128418	23	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms440	-7935979558762440632	0	46	1	214	1392	300	من حبسه وفيم-ا حبسه ثم ين------------ادي في البلد------------------- ان القاضي----- ينظر في امر المحبسين فمن كان له علي محبوس حق فليحضر في غد فاذا كان و في غد وحضر القاضي اخرج القاضي رقعة فنادي------------------------------------------------ هذه رقعة فلان بن فلان فم------------ن خصمه فا-------ذا حضر خصمه بعث----- فاخرجه	440	-4597964591653547799	Shia000033Vols-ara1.ms2443	-2149041967556321272	221	285	1075	1397	1468	300	من حبسه وبماذا حبسه فاذا فرغ من هذا نادي في البلد الي ثلاثة ايام الا ان القاضي فلان ينظر في امر المحبسين فمن كان له علي محبوس حق فليحضر يوم كذا وياخذ الوعد اليوم الرابع فيخرج في الرابع الي مجلسه علي الوجه الذي ذكرناه فيخرج رقعة فينادي مناديه هذه رقعة فلان بن فلان المحبوس فمن كان خصمه فليحضر فاذا حضر خصمه بعث اليه فاخرجه	2443	8859940330016828226	147	208.5	113	322	45.65217208862305	25	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms447	1226233450106992149	233	264	1103	1258	1433	300	بسم الله الرحمن الرحيم حضر القاضي فلان -الفلان-----------------------ي قاضي عبد الله الامام علي كذا وكذا وان كان من قبل كتب خل---يفة القاضي فلان بن ف-------------لان قاضي عبد الله الامام علي كذا	447	-4597964591653547799	Shia000033Vols-ara1.ms2465	5145078943192356494	246	282	1203	1385	1473	300	بسم الله الرحمن الرحيم حضر القاضي فلان بن فلان وان كان قاضي الامام قال قاضي عبد الله الامام------------- وان كان خليفة قاض قال خليفة القاضي فلان بن فلان والقاضي فلان قاضي عبد الله الامام علي كذا	2465	8859940330016828226	127	205.0	102	195	65.12820434570312	22	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms447	1226233450106992149	233	299	1103	1429	1433	300	بسم الله الرحمن الرحيم حضر القاضي فلان الفلاني قاضي عبد الله الامام علي كذا وكذا وان كان من قبل كتب خليفة القاضي فلان بن فلان قاضي عبد الله الامام علي ك-----ذا في مجلس حكمه وقضاءه بموضع كذا مدع ذكر انه فلان بن فلان الفلاني واحضر معه مدعا عليه ذكر انه فلان بن فلان-------- فادعي عليه كذا وكذا فاقر له وانكر فقال القاضي للمدعي الك بينة فقال ---	447	-4597964591653547799	Shia000033Vols-ara1.ms2467	1772599724331107654	16	56	75	285	1478	300	بسم الله الرحمن الرحيم حض-------------------------------------------------------------------------------ر القاضي فلان بن فلان قاضي عبد الله الامام علي كذا وكذا في مجلس حكمه وق----------------------ضاءه فلان بن فلان الفلاني واحضر------------------ معه فلان بن فلان الفلاني فادعي عليه ك-----ذا ف--------انكر فسال الحاكم المدعي الك بينة فاحضرها	2467	8859940330016828226	180	313.0	143	342	52.6315803527832	27	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms448	1242357927538346555	71	124	331	585	1490	300	-السجل و فهو لانفاذ من ثبت عنده والحكم---- به وصفته ان يكتب بعد البسملة--- هذا ما -شهد عليه قاضي القضاة او القاضي فلان بن فلان قاضي عبد الله الامام ويذكر ما تقدم في مجلس حكمه وقضاءه بموضع كذا في يوم كذا من حضره من الشهود اشهدهم انه ثبت عنده بشهادة فلان وفلان وقد	448	-4597964591653547799	Shia000033Vols-ara1.ms2468	-5766916750655425862	262	300	1252	1442	1442	300	والسجل------ لانفاذ ما في-----ه والقضاء له به وصفته بسم الله الرحمن الرحيم هذا ما اشهد-------------------- القاضي فلان بن فلان قاضي عبد الله الامام علي كذا------ في مجلس حكمه وقضاءه بموضع كذا------------------------------------ انه ثبت عنده بشهادة فلان وفلان وقد	2468	8859940330016828226	150	201.0	117	263	57.03422164916992	26	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms451	6704794162069706554	230	300	1184	1511	1511	300	اما بان يخرج الاسماء علي السهام وهو ان يكتب اسم كل واحد منهم في رقعة ويدرج و كل رقعة في بندقة من شمع او طين وتكو-------ن البنادق-- متساوية في القدر والوزن ثم تطرح في حجر رجل لم يحضر ذلك وي-----------------------------------------------------------------------------قال له اخرج بندقة علي هذا السهم ف--من خرج اسمه كان ذلك السهم له ثم يقال اخرج اخري علي السهم الذي يليه فيدفعه الي من خرج اسمه ويكون السهم الثالث الاخر	451	-4597964591653547799	Shia000033Vols-ara1.ms2487	3130595677929351520	75	140	404	740	1592	300	اما اخرا---ج الاسماء علي السهام ف---ان يكتب اسم كل واحد منهم في رقعة ويدرج-- كل رقعة في بندقة من------- طين او شمع ويكون البندقتان متساويتين وزنا وقدرا و يطرحان-- في حجر من- لم يحضر الكتب والادراج لانه ابعد من التهمة واسكن لنفس المتقاسمين ثم يعين سهما من السهمين فيقال له اخرج بندقة علي هذا الاسم فاذا اخرجها------- دفع السهم------------------------------------------------ الي ------صاحبها وكان السهم الثاني للاخر	2487	8859940330016828226	188	242.5	145	415	45.301204681396484	32	Sham19Y0026094-ara1	Shia000033Vols-ara1
Sham19Y0026094-ara1.ms461	7544462263578760869	173	251	915	1309	1568	300	علي اسلام الا-------ب واسلام احدهما قبل موت الاب واختلفا في اسلام الاخر هل كان قبل موت الاب او بعده فهما شريكان في الميراث في احدي و الروايتين لان من اسلم قبل قسمة الميراث شاركه فيه والاخري القول قول المتفق علي اسلامه ولايرث معه الاخر بعد ان يحلف ا----------نه لاي-علم ان اخاه اسلم قبل موت ابيه------------------------------ فان اتفقا ان احدهما اسلم في المحرم والاخر اسلم في صفر واختلفا في الاب فق------ال احدهما اسلم في المحرم ---ومات فيه وقال--- الاخر	461	-4597964591653547799	Shia000033Vols-ara1.ms2613	-1587930253855661960	59	133	285	644	1522	300	علي اسلامه لانه قد ثبت اسلامه ح-----ين وفاة ابيه واختلفا في اسلام الاخر هل كان قبل وفاته--- او بعد وفاته فكان-------------------------------------------------------------------------------- القول قول المتفق علي اسلامه لان الاصل الكفر حتي يعلم زواله ويكون يمينه لا يعلم ان اخاه اسلم قبل موت ابيه لانها علي النفي علي فعل الغير فان كانت بحالها ولم تكن في الكفر وكان ذلك في الرق فمات الرجل حرا وخلف ابنين فقال احدهما -------كنت حرا حين مات ابي فقال له الاخر	2613	8859940330016828226	166	174.5	126	454	36.56387710571289	23	Sham19Y0026094-ara1	Shia000033Vols-ara1
